exp,date,jobdate,metadata1,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,obj_in_frame,unique_roi,gtype
exp1,2019-04-23,2019-04-23,1,1,data/pimframes/exp1-20190423-1-1.tif,Fo,FvFm,0,14.1198,1.1176,0.0000,8.5482,0.0000,True,True,WT
exp1,2019-04-23,2019-04-23,1,1,data/pimframes/exp1-20190423-1-1.tif,Fo,FvFm,1,14.1138,1.1205,0.0000,8.5653,0.0000,True,True,kead1
exp1,2019-04-23,2019-04-23,1,1,data/pimframes/exp1-20190423-1-1.tif,Fo,FvFm,2,14.6791,1.1536,0.0000,9.1418,0.0000,True,True,gun1
exp1,2019-04-23,2019-04-23,1,1,data/pimframes/exp1-20190423-1-1.tif,Fo,FvFm,3,14.1213,1.1177,0.0000,8.5488,0.0000,True,True,triple
exp1,2019-04-23,2019-04-23,1,2,data/pimframes/exp1-20190423-1-2.tif,Fm,FvFm,0,51.2712,1.1176,0.0000,8.5482,0.0000,True,True,WT
exp1,2019-04-23,2019-04-23,1,2,data/pimframes/exp1-20190423-1-2.tif,Fm,FvFm,1,51.2477,1.1205,0.0000,8.5653,0.0000,True,True,kead1
exp1,2019-04-23,2019-04-23,1,2,data/pimframes/exp1-20190423-1-2.tif,Fm,FvFm,2,51.1689,1.1536,0.0000,9.1418,0.0000,True,True,gun1
exp1,2019-04-23,2019-04-23,1,2,data/pimframes/exp1-20190423-1-2.tif,Fm,FvFm,3,51.2772,1.1177,0.0000,8.5488,0.0000,True,True,triple
exp1,2019-04-23,2019-04-23,1,7,data/pimframes/exp1-20190423-1-7.tif,Fp,Y1_ALon,0,50.9485,5.3217,0.0453,18.0468,0.2453,True,True,WT
exp1,2019-04-23,2019-04-23,1,7,data/pimframes/exp1-20190423-1-7.tif,Fp,Y1_ALon,1,50.9237,5.3285,0.0455,18.0380,0.2459,True,True,kead1
exp1,2019-04-23,2019-04-23,1,7,data/pimframes/exp1-20190423-1-7.tif,Fp,Y1_ALon,2,50.8980,5.5384,0.0488,18.7499,0.2654,True,True,gun1
exp1,2019-04-23,2019-04-23,1,7,data/pimframes/exp1-20190423-1-7.tif,Fp,Y1_ALon,3,50.9546,5.3158,0.0453,18.0149,0.2453,True,True,triple
exp1,2019-04-23,2019-04-23,1,8,data/pimframes/exp1-20190423-1-8.tif,Fmp,Y1_ALon,0,49.7555,5.3217,0.0453,18.0468,0.2453,True,True,WT
exp1,2019-04-23,2019-04-23,1,8,data/pimframes/exp1-20190423-1-8.tif,Fmp,Y1_ALon,1,49.7313,5.3285,0.0455,18.0380,0.2459,True,True,kead1
exp1,2019-04-23,2019-04-23,1,8,data/pimframes/exp1-20190423-1-8.tif,Fmp,Y1_ALon,2,49.6605,5.5384,0.0488,18.7499,0.2654,True,True,gun1
exp1,2019-04-23,2019-04-23,1,8,data/pimframes/exp1-20190423-1-8.tif,Fmp,Y1_ALon,3,49.7615,5.3158,0.0453,18.0149,0.2453,True,True,triple
exp1,2019-04-23,2019-04-23,1,9,data/pimframes/exp1-20190423-1-9.tif,Fp,Y2_ALon,0,29.6127,4.7014,0.7179,19.7421,0.4899,True,True,WT
exp1,2019-04-23,2019-04-23,1,9,data/pimframes/exp1-20190423-1-9.tif,Fp,Y2_ALon,1,29.5990,4.7053,0.7178,19.7240,0.4899,True,True,kead1
exp1,2019-04-23,2019-04-23,1,9,data/pimframes/exp1-20190423-1-9.tif,Fp,Y2_ALon,2,29.1774,5.0517,0.7464,20.9506,0.5260,True,True,gun1
exp1,2019-04-23,2019-04-23,1,9,data/pimframes/exp1-20190423-1-9.tif,Fp,Y2_ALon,3,29.6160,4.6959,0.7179,19.7108,0.4897,True,True,triple
exp1,2019-04-23,2019-04-23,1,10,data/pimframes/exp1-20190423-1-10.tif,Fmp,Y2_ALon,0,30.5559,4.7014,0.7179,19.7421,0.4899,True,True,WT
exp1,2019-04-23,2019-04-23,1,10,data/pimframes/exp1-20190423-1-10.tif,Fmp,Y2_ALon,1,30.5421,4.7053,0.7178,19.7240,0.4899,True,True,kead1
exp1,2019-04-23,2019-04-23,1,10,data/pimframes/exp1-20190423-1-10.tif,Fmp,Y2_ALon,2,30.0781,5.0517,0.7464,20.9506,0.5260,True,True,gun1
exp1,2019-04-23,2019-04-23,1,10,data/pimframes/exp1-20190423-1-10.tif,Fmp,Y2_ALon,3,30.5593,4.6959,0.7179,19.7108,0.4897,True,True,triple
exp1,2019-04-23,2019-04-23,1,11,data/pimframes/exp1-20190423-1-11.tif,Fp,Y3_ALon,0,21.7313,3.9010,1.1971,18.7829,0.6222,True,True,WT
exp1,2019-04-23,2019-04-23,1,11,data/pimframes/exp1-20190423-1-11.tif,Fp,Y3_ALon,1,21.7221,3.9030,1.1969,18.7598,0.6224,True,True,kead1
exp1,2019-04-23,2019-04-23,1,11,data/pimframes/exp1-20190423-1-11.tif,Fp,Y3_ALon,2,21.5276,4.2923,1.2196,20.3661,0.6489,True,True,gun1
exp1,2019-04-23,2019-04-23,1,11,data/pimframes/exp1-20190423-1-11.tif,Fp,Y3_ALon,3,21.7334,3.8972,1.1972,18.7739,0.6221,True,True,triple
exp1,2019-04-23,2019-04-23,1,12,data/pimframes/exp1-20190423-1-12.tif,Fmp,Y3_ALon,0,23.8278,3.9010,1.1971,18.7829,0.6222,True,True,WT
exp1,2019-04-23,2019-04-23,1,12,data/pimframes/exp1-20190423-1-12.tif,Fmp,Y3_ALon,1,23.8174,3.9030,1.1969,18.7598,0.6224,True,True,kead1
exp1,2019-04-23,2019-04-23,1,12,data/pimframes/exp1-20190423-1-12.tif,Fmp,Y3_ALon,2,23.5530,4.2923,1.2196,20.3661,0.6489,True,True,gun1
exp1,2019-04-23,2019-04-23,1,12,data/pimframes/exp1-20190423-1-12.tif,Fmp,Y3_ALon,3,23.8302,3.8972,1.1972,18.7739,0.6221,True,True,triple
exp1,2019-04-23,2019-04-23,1,13,data/pimframes/exp1-20190423-1-13.tif,Fp,Y4_ALon,0,18.9097,3.5984,1.4205,19.6242,0.7547,True,True,WT
exp1,2019-04-23,2019-04-23,1,13,data/pimframes/exp1-20190423-1-13.tif,Fp,Y4_ALon,1,18.9022,3.6133,1.4202,19.6562,0.7547,True,True,kead1
exp1,2019-04-23,2019-04-23,1,13,data/pimframes/exp1-20190423-1-13.tif,Fp,Y4_ALon,2,18.7817,3.9649,1.4398,20.9363,0.7798,True,True,gun1
exp1,2019-04-23,2019-04-23,1,13,data/pimframes/exp1-20190423-1-13.tif,Fp,Y4_ALon,3,18.9118,3.6039,1.4206,19.6569,0.7547,True,True,triple
exp1,2019-04-23,2019-04-23,1,14,data/pimframes/exp1-20190423-1-14.tif,Fmp,Y4_ALon,0,21.6535,3.5984,1.4205,19.6242,0.7547,True,True,WT
exp1,2019-04-23,2019-04-23,1,14,data/pimframes/exp1-20190423-1-14.tif,Fmp,Y4_ALon,1,21.6441,3.6133,1.4202,19.6562,0.7547,True,True,kead1
exp1,2019-04-23,2019-04-23,1,14,data/pimframes/exp1-20190423-1-14.tif,Fmp,Y4_ALon,2,21.4367,3.9649,1.4398,20.9363,0.7798,True,True,gun1
exp1,2019-04-23,2019-04-23,1,14,data/pimframes/exp1-20190423-1-14.tif,Fmp,Y4_ALon,3,21.6555,3.6039,1.4206,19.6569,0.7547,True,True,triple
exp1,2019-04-23,2019-04-23,1,15,data/pimframes/exp1-20190423-1-15.tif,Fp,Y5_ALon,0,17.5787,3.2811,1.5264,19.2135,0.8162,True,True,WT
exp1,2019-04-23,2019-04-23,1,15,data/pimframes/exp1-20190423-1-15.tif,Fp,Y5_ALon,1,17.5717,3.2809,1.5260,19.2107,0.8164,True,True,kead1
exp1,2019-04-23,2019-04-23,1,15,data/pimframes/exp1-20190423-1-15.tif,Fp,Y5_ALon,2,17.4759,3.6460,1.5464,20.6497,0.8466,True,True,gun1
exp1,2019-04-23,2019-04-23,1,15,data/pimframes/exp1-20190423-1-15.tif,Fp,Y5_ALon,3,17.5804,3.2781,1.5265,19.2079,0.8162,True,True,triple
exp1,2019-04-23,2019-04-23,1,16,data/pimframes/exp1-20190423-1-16.tif,Fmp,Y5_ALon,0,20.8245,3.2811,1.5264,19.2135,0.8162,True,True,WT
exp1,2019-04-23,2019-04-23,1,16,data/pimframes/exp1-20190423-1-16.tif,Fmp,Y5_ALon,1,20.8164,3.2809,1.5260,19.2107,0.8164,True,True,kead1
exp1,2019-04-23,2019-04-23,1,16,data/pimframes/exp1-20190423-1-16.tif,Fmp,Y5_ALon,2,20.6214,3.6460,1.5464,20.6497,0.8466,True,True,gun1
exp1,2019-04-23,2019-04-23,1,16,data/pimframes/exp1-20190423-1-16.tif,Fmp,Y5_ALon,3,20.8266,3.2781,1.5265,19.2079,0.8162,True,True,triple
exp1,2019-04-23,2019-04-23,1,17,data/pimframes/exp1-20190423-1-17.tif,Fp,Y6_ALon,0,16.7105,2.8923,1.5782,18.4556,0.8780,True,True,WT
exp1,2019-04-23,2019-04-23,1,17,data/pimframes/exp1-20190423-1-17.tif,Fp,Y6_ALon,1,16.7044,2.9063,1.5779,18.4843,0.8781,True,True,kead1
exp1,2019-04-23,2019-04-23,1,17,data/pimframes/exp1-20190423-1-17.tif,Fp,Y6_ALon,2,16.6275,3.2572,1.5964,20.0286,0.9150,True,True,gun1
exp1,2019-04-23,2019-04-23,1,17,data/pimframes/exp1-20190423-1-17.tif,Fp,Y6_ALon,3,16.7122,2.8893,1.5784,18.4478,0.8780,True,True,triple
exp1,2019-04-23,2019-04-23,1,18,data/pimframes/exp1-20190423-1-18.tif,Fmp,Y6_ALon,0,20.4496,2.8923,1.5782,18.4556,0.8780,True,True,WT
exp1,2019-04-23,2019-04-23,1,18,data/pimframes/exp1-20190423-1-18.tif,Fmp,Y6_ALon,1,20.4411,2.9063,1.5779,18.4843,0.8781,True,True,kead1
exp1,2019-04-23,2019-04-23,1,18,data/pimframes/exp1-20190423-1-18.tif,Fmp,Y6_ALon,2,20.2700,3.2572,1.5964,20.0286,0.9150,True,True,gun1
exp1,2019-04-23,2019-04-23,1,18,data/pimframes/exp1-20190423-1-18.tif,Fmp,Y6_ALon,3,20.4515,2.8893,1.5784,18.4478,0.8780,True,True,triple
exp1,2019-04-23,2019-04-23,1,19,data/pimframes/exp1-20190423-1-19.tif,Fp,Y7_ALon,0,16.0728,2.6990,1.6243,17.8920,0.9498,True,True,WT
exp1,2019-04-23,2019-04-23,1,19,data/pimframes/exp1-20190423-1-19.tif,Fp,Y7_ALon,1,16.0667,2.7027,1.6239,17.8977,0.9500,True,True,kead1
exp1,2019-04-23,2019-04-23,1,19,data/pimframes/exp1-20190423-1-19.tif,Fp,Y7_ALon,2,16.0122,3.0158,1.6405,19.3289,1.0201,True,True,gun1
